epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1
0,0.9294426441192627,0.1942271739244461,0.9483173076923077,0.27510079741477966,0.9418322272133695
1,0.9815705418586731,0.058787278831005096,0.9787660256410257,0.054697658866643906,0.9763317829290382
2,0.9805021286010742,0.05745220556855202,0.9815705128205128,0.04500415176153183,0.9814678266421804
3,0.9867343306541443,0.03790494054555893,0.9967948717948718,0.01981254667043686,0.9952889383537659
4,0.9857549667358398,0.04366694390773773,0.9803685897435898,0.061314716935157776,0.9773915099912862
5,0.9859330654144287,0.04169563204050064,0.9931891025641025,0.019672146067023277,0.9929639292631134
6,0.9894497990608215,0.03167135268449783,0.9847756410256411,0.0174857284873724,0.9848692836174322
7,0.9886040091514587,0.03386140614748001,0.9995993589743589,0.011669429019093513,0.9996103187592549
8,0.9914084672927856,0.02634771540760994,0.9883814102564102,0.014470777474343777,0.9887327070916833
9,0.9920316934585571,0.02441507577896118,0.9847756410256411,0.03229191154241562,0.9852914767453328
10,0.9911859035491943,0.02908145822584629,0.9987980769230769,0.004582926165312529,0.9980426510599019
11,0.9912304282188416,0.02852477878332138,0.999198717948718,0.008156553842127323,0.9992133435115892
12,0.9940348863601685,0.01805580034852028,0.6426282051282052,0.8637247085571289,0.6312566560170394
13,0.9932781457901001,0.02181742899119854,0.9995993589743589,0.005830405279994011,0.9996061368709921
14,0.9955039024353027,0.016013307496905327,0.641426282051282,1.9560904502868652,0.6294827453565406
15,0.9956374764442444,0.012871594168245792,0.9987980769230769,0.009862188249826431,0.9980550436777125
16,0.9943910241127014,0.01782037317752838,0.9983974358974359,0.007638455368578434,0.9976605973114566
17,0.9960380792617798,0.013293538242578506,1.0,0.0015164262149482965,1.0
18,0.9958600401878357,0.013944637961685658,0.9995993589743589,0.0028219299856573343,0.9992177653859423
19,0.9935452342033386,0.020061340183019638,0.9603365384615384,0.14676475524902344,0.9578478716415817
20,0.9965723156929016,0.011812391690909863,0.9955929487179487,0.04542412608861923,0.9932970274020503
21,0.9970174431800842,0.010375503450632095,0.9995993589743589,0.0039567891508340836,0.9992209380438883
22,0.9967058300971985,0.009945673868060112,0.9170673076923077,0.23490643501281738,0.9238064890257638
23,0.99732905626297,0.009595985524356365,1.0,0.00041745795169845223,1.0
24,0.996972918510437,0.008935465477406979,1.0,0.0003777519741561264,1.0
25,0.9923878312110901,0.029096229001879692,0.6422275641025641,1.9297091960906982,0.6310504130558936
26,0.9962161779403687,0.011818243190646172,1.0,0.0003398762783035636,1.0
27,0.9950142502784729,0.015449115075170994,0.999198717948718,0.011756489053368568,0.9992119147115324
