epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1
0,0.9322471618652344,0.18850892782211304,0.9739583333333334,0.11718666553497314,0.9686193279885413
1,0.9776976704597473,0.0682484433054924,0.9615384615384616,0.12443216145038605,0.9599036749952974
2,0.9839298725128174,0.04637755826115608,0.9927884615384616,0.03859972953796387,0.9921199156423772
3,0.9843304753303528,0.04584822058677673,0.9823717948717948,0.045058220624923706,0.9819560614435411
4,0.9864227175712585,0.03723132982850075,0.9847756410256411,0.0341939814388752,0.9848841137379003
5,0.9856659770011902,0.04150296375155449,0.9811698717948718,0.05368470028042793,0.981093808763072
6,0.9869568943977356,0.03679538890719414,0.9823717948717948,0.050038892775774,0.9825995249628986
7,0.9881142973899841,0.03542002663016319,0.9875801282051282,0.02035290002822876,0.9871552398329979
8,0.9897168874740601,0.03019566833972931,0.6410256410256411,1.0152519941329956,0.6287038761422972
9,0.9895833134651184,0.030769366770982742,0.9919871794871795,0.020803678780794144,0.9921875708498034
10,0.9920762181282043,0.02322227880358696,0.9983974358974359,0.008911757729947567,0.9980400005057714
11,0.9884259104728699,0.03534139692783356,0.999198717948718,0.013058180920779705,0.9992164561518495
12,0.9929220080375671,0.021307826042175293,0.9987980769230769,0.006685595493763685,0.9980511598247487
13,0.9901620149612427,0.03394109383225441,0.984375,0.03947962075471878,0.984875924622381
14,0.9918091297149658,0.022158494219183922,0.9975961538461539,0.008993112482130527,0.9964692042934359
15,0.9942129850387573,0.01948789693415165,0.9579326923076923,0.24293701350688934,0.9603051989066427
16,0.9958600401878357,0.01479401532560587,0.9995993589743589,0.008736918680369854,0.9996061368709921
17,0.9919426441192627,0.025217808783054352,0.9855769230769231,0.04555504024028778,0.9855812608444188
18,0.9932781457901001,0.02127975970506668,0.9995993589743589,0.0017614171374589205,0.9991007123614744
19,0.9966613054275513,0.012732242234051228,0.9635416666666666,0.13266362249851227,0.9624476722532589
20,0.9953703880310059,0.014296963810920715,0.999198717948718,0.0075829955749213696,0.9992119147115324
21,0.9939458966255188,0.02003464847803116,0.9847756410256411,0.037430163472890854,0.9847818703475523
22,0.9950587749481201,0.01812821812927723,0.999198717948718,0.0073352656327188015,0.9984323320577512
23,0.9966613054275513,0.011458239518105984,0.9995993589743589,0.0019903061911463737,0.9996061368709921
24,0.9967503547668457,0.01199763547629118,0.999198717948718,0.003469627583399415,0.9987106659944616
25,0.9946581125259399,0.01820126734673977,0.999198717948718,0.0020907248836010695,0.9988311079074728
26,0.9961716532707214,0.013223142363131046,0.9246794871794872,0.7625008821487427,0.9172475927063583
