epoch,accuracy,loss,val_accuracy,val_loss,val_macro_f1
0,0.9274839758872986,0.20013929903507233,0.9375,0.10747651755809784,0.9287084078494817
1,0.9793892502784729,0.060297902673482895,0.9699519230769231,0.27622321248054504,0.9679190812269292
2,0.9844195246696472,0.04699956625699997,0.9827724358974359,0.034723129123449326,0.9820756958506061
3,0.9853098392486572,0.044926371425390244,0.9823717948717948,0.033817701041698456,0.9825482261028372
4,0.9851762652397156,0.04163866117596626,0.983573717948718,0.06615222245454788,0.9833327443856567
5,0.9871794581413269,0.03547030687332153,0.9571314102564102,0.06472790241241455,0.9554739358209424
6,0.9868233799934387,0.04046237841248512,0.9827724358974359,0.06748706102371216,0.9825914885885343
7,0.98704594373703,0.03602461516857147,0.9979967948717948,0.01518810261040926,0.9980418439570559
8,0.9892272353172302,0.031139882281422615,0.983573717948718,0.05644794553518295,0.9829175883191013
9,0.9894052743911743,0.028651470318436623,0.9883814102564102,0.029740186408162117,0.9880653342877056
10,0.9884704351425171,0.03275160863995552,0.9971955128205128,0.010225673206150532,0.9968757190772435
11,0.9881588220596313,0.034280695021152496,0.641426282051282,0.5713892579078674,0.629495137974351
12,0.9906962513923645,0.02924405038356781,0.9839743589743589,0.025179211050271988,0.9845394775235232
13,0.9909188151359558,0.02961919829249382,0.9847756410256411,0.03300924599170685,0.9852734701260508
14,0.9918091297149658,0.024721454828977585,0.9847756410256411,0.032787006348371506,0.9852816482316724
15,0.9936342835426331,0.019805684685707092,0.984375,0.027766117826104164,0.9845092422123287
16,0.9924323558807373,0.02328556403517723,0.9607371794871795,0.10166352987289429,0.9594333245303275
17,0.9940348863601685,0.019536005333065987,0.9983974358974359,0.00826262403279543,0.9980430241869932
18,0.9937677979469299,0.018814168870449066,0.9931891025641025,0.013891027309000492,0.9933575052996078
19,0.9929220080375671,0.023470688611268997,0.999198717948718,0.011570693925023079,0.9988274321134556
20,0.9942574501037598,0.01685217022895813,0.9623397435897436,0.07657890766859055,0.9607983163506262
21,0.9944355487823486,0.01831722818315029,0.6422275641025641,2.483643054962158,0.6304775940609277
22,0.9947916865348816,0.016521982848644257,0.9839743589743589,0.06477554142475128,0.9845296303216389
23,0.9957709908485413,0.013222918845713139,0.6426282051282052,2.8393893241882324,0.6312566560170394
24,0.9947916865348816,0.016205348074436188,0.9799679487179487,0.1617686003446579,0.9799144738007027
25,0.9924323558807373,0.026210743933916092,1.0,0.003894099500030279,1.0
26,0.9942574501037598,0.017711495980620384,1.0,0.0037071071565151215,1.0
27,0.9963496923446655,0.012182503007352352,1.0,0.003163684392347932,1.0
28,0.9962161779403687,0.012211363762617111,0.9859775641025641,0.02741398476064205,0.9864271118405984
29,0.9955039024353027,0.01411447674036026,0.983573717948718,0.03695732355117798,0.9837372317378568
30,0.9967058300971985,0.010940087027847767,1.0,0.0006458214484155178,1.0
31,0.9975516200065613,0.008009417913854122,0.6426282051282052,2.8357982635498047,0.6312566560170394
32,0.9962607026100159,0.011982949450612068,0.9807692307692307,0.09100372344255447,0.9814821417429516
33,0.9970174431800842,0.008540807291865349,0.6426282051282052,3.8668479919433594,0.6312566560170394
34,0.9972845315933228,0.00997573509812355,0.6426282051282052,1.8080120086669922,0.6312566560170394
35,0.9974626302719116,0.00941003579646349,0.9847756410256411,0.04104187712073326,0.9852816482316724
